Model,Size,Opinion_A,Opinion_B,beta,h,delta_P,MSE,R_squared,Filepath
Llama-3.1-8B-Instruct,50,cancel culture necessary,cancel culture harmful,7.45898971734017,0.9644501503945919,-9.999999999999999e-05,0.0016176244825800129,0.8336461864890978,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_cancel culture necessary.txt
Llama-3.1-8B-Instruct,50,net neutrality,market-driven internet,1.681375995146563,0.745052538855484,9.99999999999872e-05,0.009585178532099226,0.8385355007732089,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_net neutrality.txt
Llama-3.1-8B-Instruct,50,cats,dogs,3.53578163795526,0.13714729953141097,-9.999999999999408e-05,0.0005708317505452459,0.9965347221767555,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_cats.txt
Llama-3.1-8B-Instruct,50,universal basic income,income based on work only,4.300704346960379,0.7781297264911545,9.999999999999999e-05,4.2803440386977715e-05,0.9993868492545807,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_universal basic income.txt
Llama-3.1-8B-Instruct,50,federal voting rights protections,state control of elections,1.8584611467596819,0.908697170041559,9.999999999999999e-05,0.00013756992930431984,0.9957030881651574,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_federal voting rights protections.txt
Llama-3.1-8B-Instruct,50,right to unionize,freedom to avoid unions,3.68056681894832,1.2909834336491104,9.999999999129545e-05,5.272067920747614e-06,0.9857125530603046,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_right to unionize.txt
Llama-3.1-8B-Instruct,50,globalism,nationalism,1.8457663169162393,0.6048807646182218,9.999999999998496e-05,0.002254363051313753,0.9712530693141664,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_globalism.txt
Llama-3.1-8B-Instruct,50,free public transport,user-funded transport,2.5490767688076046,0.34702195325548485,9.999999999999583e-05,0.0007620506435775364,0.9945253409323721,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_free public transport.txt
Llama-3.1-8B-Instruct,50,LGBTQ+ rights,traditional family values,2.0808072040156147,0.7674597114369024,9.999999999999999e-05,0.0007162526768705814,0.9872691086743822,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_LGBTQ+ rights.txt
Llama-3.1-8B-Instruct,50,electoral college protects democracy,electoral college undermines democracy,2.9280617171909133,0.7085574152885536,-9.99999999999997e-05,0.0035620050751564722,0.9497062425850492,Llama-3.1-8B-Instruct/results_batched_vllm/N=50/transition_prob_50_0.2_electoral college protects democracy.txt
