Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate,Model,Opinion_B_fit,beta,h,p0_fit,classification,diff,abs_diff
liberal,conservative,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,conservative,1.6577328321609563,2.103106564690058,0.9991638306903156,monostable,0.0008361693096844425,0.0008361693096844425
pro-life,pro-choice,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,pro-choice,2.117976118107902,-0.7043808276488208,0.0480666294633188,monostable,-0.0480666294633188,0.0480666294633188
capitalism,socialism,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,socialism,3.159712448207065,0.1321654119289714,0.6975553008688578,metastable,0.30244469913114225,0.30244469913114225
globalism,nationalism,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,nationalism,2.4899898868770065,0.6164191444048057,0.9557277792989236,monostable,0.04427222070107639,0.04427222070107639
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,climate change skeptic,2.963736090419663,1.4562158465760575,0.9999216668751684,monostable,7.833312483163102e-05,7.833312483163102e-05
gun control,gun rights,44,56,0,100,100,0.44,0.0,Llama-3.1-8B-Instruct,gun rights,2.583645674110063,0.0990410841262134,0.6251222814469385,metastable,-0.18512228144693849,0.18512228144693849
open borders,closed borders,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,closed borders,3.2190337018748343,0.7533823372026252,0.9922645777082248,monostable,0.007735422291775151,0.007735422291775151
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,private healthcare,2.811357248416949,0.5120471081605821,0.946903284860062,monostable,0.05309671513993797,0.05309671513993797
tax the rich,lower taxes,59,41,0,100,100,0.59,0.0,Llama-3.1-8B-Instruct,lower taxes,1.776076907463374,0.0417354682176962,0.5368949682579002,metastable,0.053105031742099795,0.053105031742099795
big government,small government,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,small government,3.3366223938115778,-1.0169634394278368,0.0010277009135661,monostable,-0.0010277009135661,0.0010277009135661
affirmative action,merit-based admissions,0,100,0,100,100,0.0,0.0,Llama-3.1-8B-Instruct,merit-based admissions,2.3512096978178443,0.0223034924292368,0.5260960854035592,metastable,-0.5260960854035592,0.5260960854035592
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0,Llama-3.1-8B-Instruct,regulated speech,2.7338219975531546,1.036193489876556,0.9966486658633718,monostable,0.003351334136628248,0.003351334136628248
