Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
liberal,conservative,100,0,0,100,100,1.0,0.0
pro-life,pro-choice,0,100,0,100,100,0.0,0.0
capitalism,socialism,100,0,0,100,100,1.0,0.0
globalism,nationalism,100,0,0,100,100,1.0,0.0
climate change believer,climate change skeptic,100,0,0,100,100,1.0,0.0
gun control,gun rights,44,56,0,100,100,0.44,0.0
open borders,closed borders,100,0,0,100,100,1.0,0.0
universal healthcare,private healthcare,100,0,0,100,100,1.0,0.0
tax the rich,lower taxes,59,41,0,100,100,0.59,0.0
big government,small government,0,100,0,100,100,0.0,0.0
affirmative action,merit-based admissions,0,100,0,100,100,0.0,0.0
freedom of speech,regulated speech,100,0,0,100,100,1.0,0.0
reparations for slavery,no reparations,100,0,0,100,100,1.0,0.0
progressive,traditionalist,100,0,0,100,100,1.0,0.0
pro-immigration,anti-immigration,100,0,0,100,100,1.0,0.0
pro-EU,euroskeptic,0,100,0,100,100,0.0,0.0
pro-vaccine mandates,anti-vaccine mandates,100,0,0,100,100,1.0,0.0
defund the police,support the police,0,100,0,100,100,0.0,0.0
LGBTQ+ rights,traditional family values,100,0,0,100,100,1.0,0.0
secularism,religious influence,100,0,0,100,100,1.0,0.0
public education,school vouchers,47,53,0,100,100,0.47,0.0
minimum wage increase,free market wages,100,0,0,100,100,1.0,0.0
environmental regulation,deregulation,76,24,0,100,100,0.76,0.0
renewable energy,fossil fuels,100,0,0,100,100,1.0,0.0
multiculturalism,cultural assimilation,100,0,0,100,100,1.0,0.0
welfare programs,self-reliance,45,55,0,100,100,0.45,0.0
union support,right-to-work,92,8,0,100,100,0.92,0.0
pro-UN,anti-UN,100,0,0,100,100,1.0,0.0
rehabilitative justice,punitive justice,100,0,0,100,100,1.0,0.0
marijuana legalization,marijuana criminalization,100,0,0,100,100,1.0,0.0
net neutrality,market-driven internet,100,0,0,100,100,1.0,0.0
science-based policy,faith-based policy,100,0,0,100,100,1.0,0.0
mask mandates,personal choice,11,89,0,100,100,0.11,0.0
corporate regulation,corporate freedom,100,0,0,100,100,1.0,0.0
animal rights,animal use for industry,100,0,0,100,100,1.0,0.0
digital privacy,national surveillance,100,0,0,100,100,1.0,0.0
anti-censorship,content moderation,0,100,0,100,100,0.0,0.0
veganism,meat-eating advocacy,50,50,0,100,100,0.5,0.0
Israel support,Palestine support,12,0,88,12,100,1.0,0.88
free speech absolutism,hate speech regulation,100,0,0,100,100,1.0,0.0
gender self-identification,biological sex classification,56,44,0,100,100,0.56,0.0
cancel culture necessary,cancel culture harmful,100,0,0,100,100,1.0,0.0
AI development freedom,AI strict regulation,100,0,0,100,100,1.0,0.0
drag shows for kids,ban on drag shows for kids,100,0,0,100,100,1.0,0.0
nuclear power essential,nuclear power dangerous,100,0,0,100,100,1.0,0.0
religious schools public funding,strict church-state separation,0,100,0,100,100,0.0,0.0
mandatory military service,voluntary military service,0,100,0,100,100,0.0,0.0
statues of controversial figures,removal of controversial statues,0,97,3,97,100,0.0,0.03
meat consumption moral,meat consumption immoral,45,19,36,64,100,0.703125,0.36
remote work future,office work necessary,100,0,0,100,100,1.0,0.0
college for most,college not for everyone,100,0,0,100,100,1.0,0.0
freedom to homeschool,mandatory public education,100,0,0,100,100,1.0,0.0
legal sex work,ban on sex work,100,0,0,100,100,1.0,0.0
pornography acceptable,pornography harmful,31,23,46,54,100,0.5740740740740741,0.46
mandatory voting,voluntary voting,48,52,0,100,100,0.48,0.0
vaccination choice,vaccination requirement,70,30,0,100,100,0.7,0.0
smartphone use for kids,restricted smartphone access,7,93,0,100,100,0.07,0.0
pizza,pasta,53,47,0,100,100,0.53,0.0
coffee,tea,45,55,0,100,100,0.45,0.0
cats,dogs,52,48,0,100,100,0.52,0.0
morning person,night owl,82,18,0,100,100,0.82,0.0
sweet,salty,100,0,0,100,100,1.0,0.0
city life,country life,100,0,0,100,100,1.0,0.0
constitutional right to housing,housing as individual responsibility,63,0,37,63,100,1.0,0.37
constitutional right to a job,market determines employment,3,55,42,58,100,0.05172413793103448,0.42
affirmative action constitutional,affirmative action unconstitutional,98,0,2,98,100,1.0,0.02
money as speech (Citizens United),limit money in politics,21,76,3,97,100,0.21649484536082475,0.03
corporate constitutional rights,only individuals have rights,0,0,100,0,100,,1.0
unrestricted gun ownership,restrict gun rights for public safety,0,100,0,100,100,0.0,0.0
constitutional right to abortion,state right to restrict abortion,89,11,0,100,100,0.89,0.0
religious freedom for businesses,public accommodation over beliefs,0,48,52,48,100,0.0,0.52
right to refuse service based on beliefs,mandatory equal service,50,50,0,100,100,0.5,0.0
freedom of speech includes hate speech,hate speech can be restricted,54,46,0,100,100,0.54,0.0
qualified immunity for police,remove qualified immunity,0,57,43,57,100,0.0,0.43
privacy over government surveillance,surveillance justified for safety,100,0,0,100,100,1.0,0.0
states’ rights on drug policy,federal supremacy on drugs,0,85,15,85,100,0.0,0.15
federal voting rights protections,state control of elections,100,0,0,100,100,1.0,0.0
electoral college protects democracy,electoral college undermines democracy,79,21,0,100,100,0.79,0.0
Supreme Court lifetime appointments,term limits for justices,40,60,0,100,100,0.4,0.0
