Opinion_A,Opinion_B
liberal,conservative
pro-life,pro-choice
capitalism,socialism
globalism,nationalism
climate change believer,climate change skeptic
gun control,gun rights
open borders,closed borders
universal healthcare,private healthcare
tax the rich,lower taxes
big government,small government
affirmative action,merit-based admissions
freedom of speech,regulated speech
reparations for slavery,no reparations
progressive,traditionalist
pro-immigration,anti-immigration
pro-EU,euroskeptic
pro-vaccine mandates,anti-vaccine mandates
defund the police,support the police
LGBTQ+ rights,traditional family values
secularism,religious influence
public education,school vouchers
minimum wage increase,free market wages
environmental regulation,deregulation
renewable energy,fossil fuels
multiculturalism,cultural assimilation
welfare programs,self-reliance
union support,right-to-work
pro-UN,anti-UN
rehabilitative justice,punitive justice
marijuana legalization,marijuana criminalization
net neutrality,market-driven internet
science-based policy,faith-based policy
mask mandates,personal choice
corporate regulation,corporate freedom
animal rights,animal use for industry
digital privacy,national surveillance
anti-censorship,content moderation
veganism,meat-eating advocacy
Israel support,Palestine support
free speech absolutism,hate speech regulation
gender self-identification,biological sex classification
cancel culture necessary,cancel culture harmful
AI development freedom,AI strict regulation
drag shows for kids,ban on drag shows for kids
nuclear power essential,nuclear power dangerous
religious schools public funding,strict church-state separation
mandatory military service,voluntary military service
statues of controversial figures,removal of controversial statues
meat consumption moral,meat consumption immoral
remote work future,office work necessary
college for most,college not for everyone
freedom to homeschool,mandatory public education
legal sex work,ban on sex work
pornography acceptable,pornography harmful
mandatory voting,voluntary voting
vaccination choice,vaccination requirement
smartphone use for kids,restricted smartphone access
pizza,pasta
coffee,tea
cats,dogs
morning person,night owl
sweet,salty
city life,country life
constitutional right to housing,housing as individual responsibility
constitutional right to a job,market determines employment
affirmative action constitutional,affirmative action unconstitutional
money as speech (Citizens United),limit money in politics
corporate constitutional rights,only individuals have rights
unrestricted gun ownership,restrict gun rights for public safety
constitutional right to abortion,state right to restrict abortion
religious freedom for businesses,public accommodation over beliefs
right to refuse service based on beliefs,mandatory equal service
freedom of speech includes hate speech,hate speech can be restricted
qualified immunity for police,remove qualified immunity
privacy over government surveillance,surveillance justified for safety
states’ rights on drug policy,federal supremacy on drugs
federal voting rights protections,state control of elections
electoral college protects democracy,electoral college undermines democracy
Supreme Court lifetime appointments,term limits for justices
emergency powers for public health,individual freedom during emergencies
right to die (euthanasia),preserve life at all costs
right to unionize gig workers,gig workers as independent contractors
right to housing,housing as personal responsibility
right to a job,employment not guaranteed by state
universal basic income,income based on work only
healthcare as a right,healthcare as a market service
free higher education,pay-for-access higher education
internet access as a right,internet as a private service
privacy over national security,national security over privacy
free public transport,user-funded transport
right to unionize,freedom to avoid unions
right to abortion,right of unborn child
gun ownership as right,gun control for public safety
freedom of religion,freedom from religion in public
free speech protection,regulated speech to prevent harm
freedom to protest,public order over protest
voting as a duty,voting as a choice
corporate personhood,only humans have rights
property rights above all,social good can override property
right to die,preservation of life at all costs
