Model,pew_question_id,short_label,Opinion_A,beta,h,classification,mean_discard
Llama-3.1-8B-Instruct,Q25b,government regulation necessary,Government regulation of business is necessary to protect the public interest,5.213837676049392,0.5463560347178056,metastable,
Llama-3.1-8B-Instruct,Q25c,poor have it easy,Poor people today have it easy because they can get government benefits without doing anything in return,1.707097473545652,-1.2102031178363073,monostable,
Llama-3.1-8B-Instruct,Q25g,immigrants strengthen,Immigrants today strengthen our country because of their hard work and talents,0.17757173380581123,65.87164429560006,monostable,
Llama-3.1-8B-Instruct,Q25k,hard work gets ahead,Most people who want to get ahead can make it if they're willing to work hard,2.368206101037054,0.8112956840232579,monostable,
Llama-3.1-8B-Instruct,Q25n,corporations profit too much,Business corporations make too much profit,17.09979384021422,-0.9343184859332122,monostable,
Llama-3.1-8B-Instruct,Q50r,environmental laws cost jobs,Stricter environmental laws and regulations cost too many jobs and hurt the economy,0.1613584438311654,-74.91256338990529,monostable,
Llama-3.1-8B-Instruct,Q50u,homosexuality accepted,Homosexuality should be accepted by society,0.17757173380581123,65.87164429560006,monostable,
Llama-3.1-8B-Instruct,Q50cc,allies interests,"In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises with them",5.706310396621304,0.8040733478117364,monostable,
Llama-3.1-8B-Instruct,Q50ee,active in world affairs,It's best for the future of our country to be active in world affairs,2.904317570588683,1.0261340358157445,monostable,
Llama-3.1-8B-Instruct,Q50hh,racial equality achieved,Our country has made the changes needed to give blacks equal rights with whites,3.187351546353438,0.016141589321033264,metastable,
Llama-3.1-8B-Instruct,Q51ll,economy favors powerful,The economic system in this country unfairly favors powerful interests,5.451865523787038,-0.21072659397668198,metastable,
Llama-3.1-8B-Instruct,Q51nn,obstacles for women gone,The obstacles that once made it harder for women than men to get ahead are now largely gone,2.3702731658266125,0.5891001963720645,monostable,
gemma-3-12b-it,Q25b,government regulation necessary,Government regulation of business is necessary to protect the public interest,2.6093847796377565,1.1698052825996434,monostable,
gemma-3-12b-it,Q25c,poor have it easy,Poor people today have it easy because they can get government benefits without doing anything in return,77.7427949255023,-0.9450301027955577,metastable,
gemma-3-12b-it,Q25g,immigrants strengthen,Immigrants today strengthen our country because of their hard work and talents,0.17757173380581123,65.87164429560006,monostable,
gemma-3-12b-it,Q25k,hard work gets ahead,Most people who want to get ahead can make it if they're willing to work hard,4.825911790810901,-0.05139887619909789,metastable,
gemma-3-12b-it,Q25n,corporations profit too much,Business corporations make too much profit,4.272168453037998,-1.0441685647839498,monostable,
gemma-3-12b-it,Q50r,environmental laws cost jobs,Stricter environmental laws and regulations cost too many jobs and hurt the economy,18.64477578911828,-0.9232245609028609,monostable,
gemma-3-12b-it,Q50u,homosexuality accepted,Homosexuality should be accepted by society,0.17757173380581123,65.87164429560006,monostable,
gemma-3-12b-it,Q50cc,allies interests,"In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises with them",8.907892929348485,0.49082713440984715,metastable,
gemma-3-12b-it,Q50ee,active in world affairs,It's best for the future of our country to be active in world affairs,53.02623433348711,0.5875068875690868,metastable,
gemma-3-12b-it,Q50hh,racial equality achieved,Our country has made the changes needed to give blacks equal rights with whites,7.8591571858713,-1.0853769228689356,monostable,
gemma-3-12b-it,Q51ll,economy favors powerful,The economic system in this country unfairly favors powerful interests,7.967495822330405,-0.045794409475950676,metastable,
gemma-3-12b-it,Q51nn,obstacles for women gone,The obstacles that once made it harder for women than men to get ahead are now largely gone,9.96921384129211,-0.5625894524280999,metastable,
gemma-3-27b-it,Q25b,government regulation necessary,Government regulation of business is necessary to protect the public interest,6.343053726732373,0.29964050600266046,metastable,
gemma-3-27b-it,Q25c,poor have it easy,Poor people today have it easy because they can get government benefits without doing anything in return,3.773471986091787,-1.0462757390643578,monostable,
gemma-3-27b-it,Q25g,immigrants strengthen,Immigrants today strengthen our country because of their hard work and talents,64.54612674102351,0.946930127413366,metastable,
gemma-3-27b-it,Q25k,hard work gets ahead,Most people who want to get ahead can make it if they're willing to work hard,2.4830566561459957,-0.5866933773086888,monostable,
gemma-3-27b-it,Q25n,corporations profit too much,Business corporations make too much profit,5.714837157748275,-0.24920030489612618,metastable,
gemma-3-27b-it,Q50r,environmental laws cost jobs,Stricter environmental laws and regulations cost too many jobs and hurt the economy,12.451474462199686,-0.8976929946227831,monostable,
