Opinion_A,Opinion_B,pew_question_id,short_label,source
Government regulation of business is necessary to protect the public interest,Government regulation of business usually does more harm than good,Q25b,government regulation necessary,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Poor people today have it easy because they can get government benefits without doing anything in return,Poor people have hard lives because government benefits don't go far enough to help them live decently,Q25c,poor have it easy,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Immigrants today strengthen our country because of their hard work and talents,"Immigrants today are a burden on our country because they take our jobs, housing and health care",Q25g,immigrants strengthen,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Most people who want to get ahead can make it if they're willing to work hard,Hard work and determination are no guarantee of success for most people,Q25k,hard work gets ahead,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Business corporations make too much profit,Most corporations make a fair and reasonable amount of profit,Q25n,corporations profit too much,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Stricter environmental laws and regulations cost too many jobs and hurt the economy,Stricter environmental laws and regulations are worth the cost,Q50r,environmental laws cost jobs,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Homosexuality should be accepted by society,Homosexuality should be discouraged by society,Q50u,homosexuality accepted,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
"In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises with them","In foreign policy, the U.S. should follow its OWN national interests even when its allies strongly disagree",Q50cc,allies interests,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
It's best for the future of our country to be active in world affairs,We should pay less attention to problems overseas and concentrate on problems here at home,Q50ee,active in world affairs,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
Our country has made the changes needed to give blacks equal rights with whites,Our country needs to continue making changes to give blacks equal rights with whites,Q50hh,racial equality achieved,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
The economic system in this country unfairly favors powerful interests,The economic system in this country is generally fair to most Americans,Q51ll,economy favors powerful,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
The obstacles that once made it harder for women than men to get ahead are now largely gone,There are still significant obstacles that make it harder for women to get ahead than men,Q51nn,obstacles for women gone,"Pew Research Center, Political Typology, Oct 2017 (paired-statement values items, used verbatim and in full)"
