model,experiment,pair_A,pair_B,temperature,system_size,prompt_variant,prompt_name,beta,h,beta_se,h_se
gemma-3-27b-it,temperature,gender self-identification,biological sex classification,0.1,50,0,original,1.8140783951583255,0.38178965835883566,0.11271595926492534,0.037493074817956856
gemma-3-27b-it,temperature,renewable energy,fossil fuels,0.1,50,0,original,0.22237363904522023,0.9999999999998525,0.2940279058773794,12.13929814438052
gemma-3-27b-it,temperature,climate change believer,climate change skeptic,0.1,50,0,original,4.080780587433932,0.5137722705721259,0.361655594773608,0.01751366714303415
gemma-3-27b-it,temperature,gender self-identification,biological sex classification,0.2,50,0,original,1.8605221023009773,0.3699554494213391,0.12423031109198274,0.03926192930909224
gemma-3-27b-it,temperature,renewable energy,fossil fuels,0.2,50,0,original,0.255748311169235,0.9999999999999999,0.35139926933811755,9.355963923148346
gemma-3-27b-it,temperature,climate change believer,climate change skeptic,0.2,50,0,original,4.261643792746068,0.5888675930493896,0.4692529445337404,0.01538703342276693
gemma-3-27b-it,temperature,gender self-identification,biological sex classification,0.5,50,0,original,2.097665326957548,0.355304300157915,0.1672087933943821,0.04116592069850391
gemma-3-27b-it,temperature,renewable energy,fossil fuels,0.5,50,0,original,0.33166025814276173,0.9999999999999999,0.4290567101689859,4.9770057373212975
gemma-3-27b-it,temperature,climate change believer,climate change skeptic,0.5,50,0,original,4.242859623130032,0.584833337032275,0.3479014047285081,0.01161985781062792
gemma-3-27b-it,system_size,gender self-identification,biological sex classification,0.2,20,0,original,3.002114644131343,0.9523515585667962,1.2000832145217184,0.05489802599165514
gemma-3-27b-it,system_size,renewable energy,fossil fuels,0.2,20,0,original,0.10000000000000073,0.999976968231621,0.12460316343415587,59.51270858326208
gemma-3-27b-it,system_size,climate change believer,climate change skeptic,0.2,20,0,original,4.549806153365125,0.6976477023183177,1.577679712599703,0.049962441395713625
gemma-3-27b-it,system_size,gender self-identification,biological sex classification,0.2,50,0,original,1.810336023319023,0.3055437492030404,0.16590756708483387,0.05393806363017619
gemma-3-27b-it,system_size,renewable energy,fossil fuels,0.2,50,0,original,0.291165700061814,0.9999999999999999,0.3926417268531625,6.9256078135029435
gemma-3-27b-it,system_size,climate change believer,climate change skeptic,0.2,50,0,original,4.430544700187633,0.5533859574640713,0.2946715755176247,0.009371040922823558
gemma-3-27b-it,system_size,gender self-identification,biological sex classification,0.2,100,0,original,3.327237887240684,0.12586386274926786,0.32065911617019255,0.017128727594980065
gemma-3-27b-it,system_size,renewable energy,fossil fuels,0.2,100,0,original,0.15970641225274482,0.9999999999999785,0.27737141486581673,31.841307471633616
gemma-3-27b-it,system_size,climate change believer,climate change skeptic,0.2,100,0,original,3.498169457390339,0.506813397843893,0.2851815839991367,0.021118240632670055
gemma-3-27b-it,system_size,gender self-identification,biological sex classification,0.2,200,0,original,5.5935006639228675,0.2208105492297657,0.7082981238966242,0.010866968693268983
gemma-3-27b-it,system_size,renewable energy,fossil fuels,0.2,200,0,original,4.9276997617728995,0.8581987628383244,0.3025097440435038,0.005472423990180287
gemma-3-27b-it,system_size,climate change believer,climate change skeptic,0.2,200,0,original,5.401138357949579,0.21862718536199013,0.850789520458706,0.014154250970818408
gemma-3-27b-it,system_size,gender self-identification,biological sex classification,0.2,500,0,original,6.700567568626322,0.17418945200157088,0.14355582326350488,0.001500173670588664
gemma-3-27b-it,system_size,renewable energy,fossil fuels,0.2,500,0,original,5.432788966082308,0.6141954644835064,0.09122148296903075,0.0015201519178462486
gemma-3-27b-it,system_size,climate change believer,climate change skeptic,0.2,500,0,original,4.904835297937511,0.08713176962856277,0.3053614036039185,0.0076626744168777905
gemma-3-27b-it,prompt,gender self-identification,biological sex classification,0.2,50,0,original,1.8183954189708484,0.3815701777770196,0.10053665913105134,0.033283853621551104
gemma-3-27b-it,prompt,renewable energy,fossil fuels,0.2,50,0,original,0.2917171806535919,0.9999999999999999,0.411209002494995,7.209377011391851
gemma-3-27b-it,prompt,climate change believer,climate change skeptic,0.2,50,0,original,4.185786190666225,0.5478816184697339,0.2532093558206067,0.009768984320819412
gemma-3-27b-it,prompt,gender self-identification,biological sex classification,0.2,50,1,peer_framing,4.447363204857721,0.16167894581248218,0.20253360150968147,0.005260701773528869
gemma-3-27b-it,prompt,renewable energy,fossil fuels,0.2,50,1,peer_framing,7.39274657578367,0.5550794909400392,0.2651566120884115,0.001884308346090444
gemma-3-27b-it,prompt,climate change believer,climate change skeptic,0.2,50,1,peer_framing,5.410224831133504,0.1893996205529934,0.18181999767128423,0.0028902390548810044
gemma-3-27b-it,prompt,gender self-identification,biological sex classification,0.2,50,2,survey_framing,5.106710873971865,0.5224662251432778,0.3776940029709903,0.009423588230447172
gemma-3-27b-it,prompt,renewable energy,fossil fuels,0.2,50,2,survey_framing,6.179956394887505,0.6448137235121498,0.24769140103127005,0.0037767639022609698
gemma-3-27b-it,prompt,climate change believer,climate change skeptic,0.2,50,2,survey_framing,6.211537608431393,0.5927749002286177,0.18533993678015825,0.0017934638182223888
gemma-3-27b-it,prompt,gender self-identification,biological sex classification,0.2,50,3,discussion_framing,3.25192444934681,0.4112696792137073,0.09784109590776734,0.0104934130746589
gemma-3-27b-it,prompt,renewable energy,fossil fuels,0.2,50,3,discussion_framing,0.10000000000000002,0.9999999835360829,0.09508309734326288,45.3441642492273
gemma-3-27b-it,prompt,climate change believer,climate change skeptic,0.2,50,3,discussion_framing,19.99999993912562,0.6229183575856638,0.9458121589248205,0.0010887216739868474
gemma-3-27b-it,prompt,gender self-identification,biological sex classification,0.2,50,4,minimal,3.7777087745369418,0.4901083128177267,0.14268064101499542,0.00935486540310933
gemma-3-27b-it,prompt,renewable energy,fossil fuels,0.2,50,4,minimal,0.1000000000000332,0.9999999988371672,0.11435311795103019,54.533638316512054
gemma-3-27b-it,prompt,climate change believer,climate change skeptic,0.2,50,4,minimal,3.530920425605533,0.7007825246471936,0.07055414300129825,0.003349589248734328
Qwen3-32B,temperature,gender self-identification,biological sex classification,0.1,50,0,original,2.2029860873195175,0.08184553415398624,0.2129698432634811,0.030886456121190016
Qwen3-32B,temperature,renewable energy,fossil fuels,0.1,50,0,original,0.17040045620788477,0.999999999999884,0.24113574480785735,22.689620616519715
Qwen3-32B,temperature,climate change believer,climate change skeptic,0.1,50,0,original,0.1000000000000004,0.9999833584032048,0.12703425633487206,60.58223728351153
Qwen3-32B,temperature,gender self-identification,biological sex classification,0.2,50,0,original,2.2926366466634254,-0.008448567189474846,0.39624551540279346,0.0495024196341851
