pew_question_id,short_label,Opinion_A,medh,meta
Q25b,government regulation necessary,Government regulation of business is necessary to protect the public interest,0.6274029076231193,0.3333333333333333
Q25c,poor have it easy,Poor people today have it easy because they can get government benefits without doing anything in return,1.0320400034344628,0.2222222222222222
Q25g,immigrants strengthen,Immigrants today strengthen our country because of their hard work and talents,65.87164429560006,0.1111111111111111
Q25k,hard work gets ahead,Most people who want to get ahead can make it if they're willing to work hard,0.2636740100775329,0.6666666666666666
Q25n,corporations profit too much,Business corporations make too much profit,0.2662703315775475,0.5555555555555556
Q50cc,allies interests,"In foreign policy, the U.S. should take into account the interests of its allies even if it means making compromises with them",0.2776641374517217,0.5555555555555556
Q50ee,active in world affairs,It's best for the future of our country to be active in world affairs,0.4774208592208002,0.7777777777777778
Q50hh,racial equality achieved,Our country has made the changes needed to give blacks equal rights with whites,0.938681052042788,0.3333333333333333
Q50r,environmental laws cost jobs,Stricter environmental laws and regulations cost too many jobs and hurt the economy,1.0454733775019744,0.0
Q50u,homosexuality accepted,Homosexuality should be accepted by society,65.87164429560006,0.1111111111111111
Q51ll,economy favors powerful,The economic system in this country unfairly favors powerful interests,0.2107265939766819,0.6666666666666666
Q51nn,obstacles for women gone,The obstacles that once made it harder for women than men to get ahead are now largely gone,0.5625894524280999,0.4444444444444444
