Opinion_A,Opinion_B,full_description_A,full_description_B,source_question,source_option_A,source_option_B,dataset,survey_wave
democratic government risk,stable government risk,democratic government despite instability risk,stable government despite reduced democracy,"Which is more important to you...That Tunisia has a democratic government even if there is some risk of political instability, or that Tunisia has a stable government, even if there is a risk it will not be fully democratic?","That (survey country) has a democratic government, even if there is some risk of political instability","That (survey country) has a stable government, even if there is a risk it will not be fully democratic","GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
promote democracy abroad,non-interventionist on democracy,country should promote democracy abroad,country should not promote democracy abroad,Which comes closer to describing your view?...The US should be promoting democracy around the world OR The US should not be promoting democracy around the world,US should promote democracy around the world,US should not promote democracy around the world,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
traditional life fading,traditional life enduring,traditional way of life is being lost,traditional way of life remains strong,"Which of these comes closer to your view?...Our traditional way of life is getting lost, OR our traditional way of life remains strong",Our traditional way of life is getting lost,Our traditional way of life remains strong,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
consumerism threatens culture,consumerism harmless to culture,consumerism threatens culture,consumerism does not threaten culture,"And finally, which comes closer to your view?  Consumerism and commercialism are a threat to our culture, OR consumerism and commercialism are not a threat to our culture.",Consumerism/commercialism a threat to culture,Consumerism/commercialism not a threat to culture,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
GMO crops beneficial,GMO crops harmful,GMO crops beneficial for yield,GMO crops harmful to health and environment,Some people say that it is good to scientifically alter some fruits and vegetables because it increases crop yields to feed more people and is good for the environment.  Others say it is bad to scientifically alter some fruits and vegetables because it could hurt human health and the environment.  Which comes closer to your view?,Good because increased crop yields,Bad because could hurt health and environment,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
success at others' expense,success from ability,success comes at other people's expense,success comes from ability and ambition,"Some say that people who get ahead these days do so mainly at the expense of other people, others say that people who get ahead these days do so because they have more ability and ambition than other people - which comes closer to your point of view?",At other people's expense,Ability and ambition,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
religious pluralism,religious orthodoxy,religion should tolerate diverse interpretations,religion has only one true interpretation,Some people believe Islam should tolerate diverse interpretations of its teachings.  Others believe there is only one true interpretation of the teachings of Islam.  Which of these two points of view is closer to your own?,Islam should tolerate diverse interpretations of teachings,There is only one true interpretation of Islam teachings,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
national unity,regional secession,country should remain united,regions should be allowed to secede,"In your opinion, should Ukraine remain one, united country, or should regions that want to leave be allowed to secede? ",Remain united,Allowed to secede,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
international court jurisdiction,national judicial sovereignty,international court should try own country's soldiers,international court should not try own country's soldiers,"In your opinion, should the International Criminal Court be allowed to try your country soldiers accused of war crimes if the your country government refuses to try them, or not?","Yes, International Criminal Court should try soldiers","No, International Criminal Court should not try soldiers","GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
foreign aid solidarity,foreign aid restraint,financial assistance to other countries justified,financial assistance to other countries not justified,"Do you think the your country government should provide financial assistance to other European Union countries that have major financial problems, or don't you think the government should do this?","Yes, provide","No, do not provide","GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
emigrate for opportunity,stay in homeland,moving abroad for a better life,staying in home country,"What would you recommend to a young person in our country today who wants a good life -- should they move to another country, or stay in your country?",Move to another country,Stay,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
active military role,restrained military role,active military role for regional stability,limited/restrained military role,"Some people say that Germany should play a more active military role in helping to maintain peace and stability in the world. Other people say that, given its history, Germany should limit its military role in world affairs. Which view is closer to your own?",Play a more active military role,Limit its military role,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
openness to foreign culture,cultural protectionism,openness to foreign cultural influence,protecting domestic culture from foreign influence,"Which comes closer to describing your view?...I like foreign music, movies and television OR I dislike foreign music, movies and television",I like foreign music,I dislike foreign music,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
protests as foreign plot,protests as domestic grievance,protests are result of foreign interference,protests reflect genuine domestic dissatisfaction,Some people say the protests for fair elections are the result of efforts by Western powers to destabilize Russia.   Others say the protests are the result of genuine Russian dissatisfaction with the conduct of the elections. Which comes closer to your view?,Result of efforts by Western powers,Result of Russian dissatisfaction,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
promote business practices abroad,non-interventionist on business,country should promote its business practices abroad,country should not promote its business practices abroad,Which comes closer to describing your view?...The US should be promoting American business practices around the world OR The US should not be promoting American business practices around the world,US should promote American business practices,US should not promote American business practices,"GlobalOpinionQA (Durmus et al. 2023, arXiv:2306.16388)",Pew Global Attitudes Survey / World Values Survey
